,num_categories,max_features,test_set,layer1_neurons,layer2_neurons,epochs,batch_size,parameters,train_loss,train_accuracy,train_auc,train_precision,train_recall,train_f1,test_loss,test_accuracy,test_auc,test_precision,test_recall,test_f1
204,10,5000,0.25,20,10,20,1,100230,0.0,1.0,1.0,1.0,1.0,1.0,1.3173757791519165,0.9100294709205627,0.9634250998497009,0.9100294709205627,0.9100294709205627,0.9100294709205627
205,10,5000,0.25,20,10,20,5,100230,0.0,1.0,1.0,1.0,1.0,1.0,1.3208470344543457,0.9026548862457275,0.9642693996429443,0.9039881825447083,0.9026548862457275,0.903321042411203
206,10,5000,0.25,20,10,20,10,100230,0.0,1.0,1.0,1.0,1.0,1.0,1.3227195739746094,0.9026548862457275,0.9635353684425354,0.9039881825447083,0.9026548862457275,0.903321042411203
207,10,5000,0.25,40,10,5,1,200450,0.0011709233513101935,1.0,1.0,1.0,1.0,1.0,0.6269910931587219,0.9100294709205627,0.9780462980270386,0.9134328365325928,0.9026548862457275,0.9080118793954136
208,10,5000,0.25,40,10,5,5,200450,0.00042246977682225406,1.0,0.9999999403953552,1.0,1.0,1.0,0.6887433528900146,0.9100294709205627,0.9768313765525818,0.9190405011177063,0.9041298031806946,0.9115241789882059
209,10,5000,0.25,40,10,5,10,200450,0.0002600420848466456,1.0,1.0,1.0,1.0,1.0,0.725086510181427,0.9129793643951416,0.9768284559249878,0.9191616773605347,0.9056047201156616,0.9123328385687106
210,10,5000,0.25,40,10,10,1,200450,1.8245103206027125e-08,1.0,1.0,1.0,1.0,1.0,1.4196308851242065,0.9115044474601746,0.9619061350822449,0.9113737344741821,0.9100294709205627,0.9107011066390323
211,10,5000,0.25,40,10,10,5,200450,4.165284117618739e-09,1.0,1.0,1.0,1.0,1.0,1.4778963327407837,0.9115044474601746,0.9613143801689148,0.9113737344741821,0.9100294709205627,0.9107011066390323
212,10,5000,0.25,40,10,10,10,200450,1.935977378408893e-09,1.0,1.0,1.0,1.0,1.0,1.5016850233078003,0.9115044474601746,0.9613355398178101,0.9113737344741821,0.9100294709205627,0.9107011066390323
213,10,5000,0.25,40,10,20,1,200450,0.0,1.0,1.0,1.0,1.0,1.0,1.5998151302337646,0.9056047201156616,0.9611056447029114,0.9069423675537109,0.9056047201156616,0.906273050247325
